COD_CHAVE;DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;CD_SITUACAO_LEGENDA;DS_SITUACAO
1500016816887704;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PB;PB;PARAÍBA;4;VICE-GOVERNADOR;COLIGAÇÃO;77;SOLIDARIEDADE;SOLIDARIEDADE;-1;#NULO#;#NULO#;#NULO#;1,50002E+11;JUNTOS PELA PARAÍBA;PSB / AGIR / PP / AVANTE / PMN / PSD / SOLIDARIEDADE / PODE / REPUBLICANOS / PATRIOTA;D;DEFERIDO
700016827987706;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;DF;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;77;SOLIDARIEDADE;SOLIDARIEDADE;-1;#NULO#;#NULO#;#NULO#;70001682798;#NULO#;SOLIDARIEDADE;D;DEFERIDO
1700016814955510;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PE;PE;PERNAMBUCO;10;2º SUPLENTE;COLIGAÇÃO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;-1;#NULO#;#NULO#;#NULO#;1,70002E+11;PERNAMBUCO NA VEIA;AVANTE / PMN / AGIR / PSD / SOLIDARIEDADE;DR;DEFERIDO COM RECURSO
1400016833711203;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PA;PA;PARÁ;3;GOVERNADOR;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;-1;#NULO#;#NULO#;#NULO#;1,40002E+11;PRA SEGUIR EM FRENTE;MDB / PSDB/CIDADANIA / PT/PC DO B/PV / PP / PSD / PDT / REPUBLICANOS / AVANTE / PODE / UNIÃO / DC / PTB / PSB;D;DEFERIDO
900016831811503;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;GO;GO;GOIÁS;3;GOVERNADOR;COLIGAÇÃO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;90001683181;Pra Seguir em Frente;MDB / UNIÃO / PODE / PTB / PSC / PSD / AVANTE / PRTB / PP / SOLIDARIEDADE / PROS / PDT;D;DEFERIDO
1000016828391409;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;MA;MA;MARANHÃO;9;1º SUPLENTE;COLIGAÇÃO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,00002E+11;JUNTOS PELO TRABALHO;PTB / PDT / PL / AGIR / REPUBLICANOS / PROS;D;DEFERIDO
1600016834822806;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PR;PR;PARANÁ;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,60002E+11;#NULO#;PRTB;D;DEFERIDO
2500016832792110;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;SP;SP;SÃO PAULO;10;2º SUPLENTE;PARTIDO ISOLADO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;2,50002E+11;#NULO#;PCB;D;DEFERIDO
600016825728004;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;CE;CE;CEARÁ;4;VICE-GOVERNADOR;PARTIDO ISOLADO;80;UP;UNIDADE POPULAR;-1;#NULO#;#NULO#;#NULO#;60001682572;#NULO#;UP;D;DEFERIDO
1500016822614503;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;PB;PB;PARAÍBA;3;GOVERNADOR;COLIGAÇÃO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1;Federação PSDB Cidadania;PSDB/CIDADANIA;CIDADANIA / PSDB;1,50002E+11;CORAGEM PARA MUDAR;PDT / PSDB/CIDADANIA / UNIÃO / PMB / PSC / PTB / PROS;D;DEFERIDO
2500016816173604;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;SP;SP;SÃO PAULO;4;VICE-GOVERNADOR;COLIGAÇÃO;36;AGIR;AGIR;-1;#NULO#;#NULO#;#NULO#;2,50002E+11;Juntos por São Paulo;PT/PC DO B/PV / PSB / PSOL/REDE / AGIR;D;DEFERIDO
1100016822491405;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;MT;MT;MATO GROSSO;5;SENADOR;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;-1;#NULO#;#NULO#;#NULO#;1,10002E+11;#NULO#;PTB;D;DEFERIDO
800016809703006;16/09/2022;18:36:41;2022;2;ELEIÇÃO ORDINÁRIA;1;546;Eleições Gerais Estaduais 2022;02/10/2022;ES;ES;ESPÍRITO SANTO;6;DEPUTADO FEDERAL;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;-1;#NULO#;#NULO#;#NULO#;80001680970;#NULO#;NOVO;D;DEFERIDO
